0.862;0.834;0.850;2.472;1.281;1.708;0.857;0.838;0.929;1.534;2.407;1.997;12.030;0.868;0.820;0.869;0.857;0.845;1.000;1.209;0.836;1.076;0.867;1.060;0.816;0.817;1.360;0.974;0.832;0.841;0.911;1.076;1.582;1.172;0.989;0.920;1.116;0.876;0.798;1.487;0.886;0.845;0.917;1.009;0.788;0.928;0.821;0.981;0.996;0.980
0.807;0.804;0.807;1.396;0.978;1.207;0.859;0.810;0.845;1.371;1.690;1.515;5.388;0.809;0.822;0.862;0.801;0.802;0.854;0.984;0.822;0.916;0.803;0.983;0.819;0.787;1.113;0.885;0.806;0.834;0.832;0.961;1.220;1.020;0.915;0.857;0.916;0.797;0.823;1.166;0.844;0.829;0.860;0.894;0.812;0.881;0.837;0.900;0.863;0.846
0.819;0.830;0.842;1.259;1.034;1.231;0.813;0.772;0.885;1.355;1.708;1.434;5.302;0.870;0.838;0.836;0.838;0.800;0.840;0.975;0.793;0.911;0.845;0.957;0.802;0.812;1.113;0.910;0.850;0.801;0.846;0.936;1.142;0.979;0.871;0.831;0.911;0.826;0.826;1.137;0.819;0.785;0.865;0.896;0.838;0.893;0.797;0.868;0.889;0.843
0.779;0.797;0.839;1.312;0.998;1.231;0.813;0.815;0.876;1.388;1.665;1.474;5.298;0.847;0.774;0.815;0.852;0.827;0.877;1.016;0.797;0.924;0.833;0.970;0.835;0.808;1.125;0.874;0.806;0.820;0.840;0.963;1.144;0.968;0.885;0.823;0.899;0.853;0.756;1.157;0.849;0.846;0.830;0.853;0.784;0.842;0.806;0.912;0.894;0.840
0.806;0.790;0.829;1.279;0.998;1.197;0.809;0.829;0.892;1.339;1.688;1.449;5.290;0.801;0.837;0.826;0.785;0.845;0.838;0.973;0.834;0.906;0.820;0.906;0.845;0.810;1.083;0.893;0.820;0.826;0.861;0.921;1.151;1.002;0.886;0.845;0.925;0.819;0.812;1.148;0.885;0.804;0.852;0.865;0.849;0.881;0.841;0.853;0.874;0.890
0.837;0.799;0.820;1.367;1.014;1.245;0.806;0.835;0.876;1.379;1.772;1.466;5.719;0.814;0.813;0.820;0.806;0.805;0.905;1.014;0.870;0.913;0.831;0.967;0.805;0.801;1.117;0.922;0.800;0.832;0.862;0.933;1.205;1.029;0.841;0.887;0.943;0.872;0.799;1.195;0.817;0.824;0.873;0.926;0.798;0.865;0.879;0.896;0.856;0.873
1.087;0.992;1.097;1.608;1.498;1.980;1.006;1.135;1.295;1.283;1.790;1.698;4.504;1.181;1.017;1.051;1.153;0.989;1.282;1.217;1.032;1.258;1.004;1.299;1.117;1.048;1.598;1.259;1.093;1.073;1.184;1.448;1.471;1.335;1.152;1.160;1.299;1.230;1.014;1.690;1.162;1.045;1.111;1.171;0.959;1.214;1.126;1.183;1.445;1.484
1.224;0.870;1.255;117.659;7.188;18.380;1.272;1.165;1.705;2.968;199.118;204.552;159.032;1.539;0.909;1.442;1.107;0.981;1.479;5.041;1.315;3.296;3.168;3.875;1.060;0.932;6.698;2.556;1.139;1.385;2.162;3.060;9.286;5.580;2.444;1.973;3.151;1.171;1.039;7.710;6.130;0.888;1.944;2.386;0.930;2.008;1.152;2.433;2.669;2.197
0.945;0.864;0.981;2.064;1.415;2.093;0.888;0.952;1.175;1.350;3.346;3.335;7.397;0.992;0.881;0.923;1.009;0.938;1.013;1.132;0.863;1.136;0.900;1.203;0.964;0.919;2.157;1.013;0.914;0.900;1.082;1.136;1.473;1.234;1.023;1.044;1.090;1.144;0.900;1.582;1.057;0.950;0.963;1.089;0.848;1.098;0.906;1.098;1.554;1.512
1.084;0.964;1.097;1.637;1.473;1.973;1.030;1.142;1.289;1.300;1.718;1.632;4.689;1.203;1.026;1.095;1.177;1.004;1.318;1.160;1.031;1.230;1.034;1.337;1.115;1.021;1.562;1.186;1.091;1.076;1.217;1.467;1.491;1.259;1.186;1.163;1.262;1.243;1.026;1.710;1.129;1.040;1.165;1.200;0.993;1.212;1.095;1.250;1.550;1.465
1.289;0.836;1.259;121.340;7.323;18.264;1.243;1.146;1.781;3.007;200.752;204.117;157.934;1.559;0.911;1.433;1.108;1.024;1.486;4.983;1.282;3.272;3.065;3.879;1.090;0.924;6.751;2.575;1.161;1.404;2.232;3.081;9.325;5.614;2.512;1.988;3.182;1.197;1.002;7.786;6.214;0.865;1.940;2.450;0.922;2.027;1.168;2.405;2.562;2.219
0.890;0.880;0.946;2.081;1.435;2.088;0.922;0.909;1.116;1.286;3.349;3.285;7.395;0.963;0.871;0.930;0.972;0.901;1.051;1.161;0.931;1.135;0.891;1.187;0.941;0.909;2.125;1.026;0.938;0.902;1.003;1.136;1.483;1.246;1.028;1.019;1.095;1.095;0.850;1.578;1.049;0.925;0.939;1.071;0.893;1.117;0.932;1.073;1.508;1.511
0.918;0.934;0.890;0.948;0.931;0.886;0.912;0.924;0.969;0.905;0.907;0.946;0.921;0.947;0.958;0.921;0.948;0.950;0.925;0.915;0.947;0.936;0.975;0.943;0.969;0.921;0.950;0.959;0.938;0.922;0.902;0.929;0.919;0.945;0.943;0.929;0.916;0.979;0.923;0.936;0.970;0.940;0.955;0.942;0.921;0.949;0.946;0.917;0.970;0.951
0.819;0.813;0.798;0.788;0.831;0.806;0.835;0.812;0.816;0.848;0.849;0.829;0.833;0.831;0.810;0.851;0.833;0.819;0.835;0.828;0.854;0.813;0.817;0.811;0.850;0.831;0.847;0.795;0.818;0.834;0.850;0.791;0.834;0.837;0.840;0.842;0.787;0.809;0.794;0.818;0.779;0.814;0.829;0.850;0.851;0.859;0.833;0.819;0.824;0.842
0.824;0.837;0.854;0.850;0.852;0.825;0.824;0.845;0.860;0.803;0.828;0.853;0.820;0.872;0.857;0.866;0.801;0.875;0.848;0.869;0.847;0.784;0.813;0.846;0.855;0.832;0.824;0.869;0.833;0.831;0.837;0.829;0.845;0.847;0.817;0.837;0.813;0.863;0.842;0.850;0.847;0.798;0.838;0.875;0.823;0.819;0.871;0.839;0.865;0.872
1.119;1.001;1.141;1.642;1.498;1.956;1.037;1.128;1.302;1.302;1.723;1.818;4.537;1.168;1.028;1.074;1.161;1.025;1.242;1.191;1.042;1.274;1.027;1.295;1.102;1.028;1.582;1.260;1.095;1.114;1.227;1.454;1.427;1.337;1.153;1.165;1.299;1.274;1.011;1.724;1.138;1.057;1.186;1.162;1.000;1.175;1.093;1.243;1.488;1.408
1.260;0.827;1.260;121.067;7.285;18.311;1.261;1.160;1.784;3.035;197.965;203.324;157.582;1.611;0.897;1.447;1.145;1.035;1.473;4.966;1.298;3.304;3.073;3.887;1.084;0.932;6.822;2.618;1.144;1.413;2.147;3.021;9.279;5.606;2.410;1.958;3.142;1.173;1.030;7.725;6.515;0.892;1.984;2.378;0.965;2.001;1.202;2.330;2.654;2.192
0.915;0.888;0.913;2.083;1.447;2.111;0.877;0.937;1.094;1.310;3.417;3.375;7.414;0.949;0.855;0.905;0.981;0.939;1.043;1.102;0.862;1.111;0.946;1.163;0.944;0.932;2.143;1.030;0.940;0.905;1.048;1.152;1.454;1.268;1.026;1.050;1.065;1.098;0.875;1.557;1.041;0.959;0.962;1.028;0.868;1.087;0.945;1.080;1.538;1.543
1.127;0.983;1.142;1.592;1.505;1.892;1.075;1.138;1.290;1.258;1.721;1.754;4.452;1.233;0.998;1.099;1.182;1.015;1.307;1.142;1.062;1.257;1.052;1.312;1.101;1.057;1.560;1.223;1.082;1.098;1.191;1.413;1.449;1.297;1.198;1.142;1.328;1.243;0.996;1.721;1.173;1.113;1.177;1.165;1.014;1.207;1.082;1.217;1.472;1.478
1.214;0.820;1.263;120.706;7.286;18.310;1.281;1.215;1.720;2.981;198.489;206.318;157.480;1.559;0.904;1.414;1.122;1.034;1.547;4.968;1.256;3.303;3.101;3.825;1.069;0.964;6.739;2.564;1.149;1.401;2.243;3.038;9.233;5.523;2.454;1.915;3.145;1.210;0.996;7.763;6.136;0.888;1.926;2.342;0.951;2.042;1.159;2.334;2.689;2.166
0.901;0.895;0.939;2.167;1.477;2.089;0.916;0.957;1.152;1.318;3.366;3.308;7.381;0.972;0.877;0.880;0.968;0.869;1.041;1.167;0.880;1.140;0.916;1.200;0.910;0.942;2.139;1.017;0.933;0.922;1.049;1.120;1.427;1.230;0.991;1.159;1.052;1.094;0.904;1.578;1.032;0.949;0.940;1.012;0.900;1.089;0.852;1.056;1.554;1.521
1.167;0.967;1.143;1.618;1.465;2.010;1.055;1.186;1.282;1.270;1.707;1.730;4.546;1.233;1.009;1.082;1.167;1.011;1.258;1.174;1.049;1.260;1.061;1.274;1.110;1.027;1.562;1.249;1.105;1.094;1.158;1.491;1.436;1.325;1.168;1.143;1.313;1.259;1.001;1.723;1.150;1.071;1.149;1.149;1.006;1.212;1.088;1.233;1.445;1.422
1.261;0.882;1.226;120.765;7.186;18.340;1.231;1.164;1.706;2.954;197.993;205.397;156.927;1.566;0.871;1.412;1.135;0.983;1.460;4.933;1.260;3.297;3.130;3.798;1.064;0.915;6.745;2.575;1.163;1.380;2.186;3.008;9.239;5.550;2.388;1.958;3.170;1.182;0.994;7.748;6.049;0.876;1.941;2.370;0.933;2.010;1.137;2.344;2.721;2.188
0.905;0.932;0.949;2.065;1.430;2.096;0.891;0.891;1.129;1.340;3.356;3.355;7.376;0.982;0.842;0.903;1.011;0.925;1.054;1.116;0.904;1.136;0.914;1.179;0.970;0.910;2.104;1.035;0.920;0.908;1.020;1.097;1.465;1.246;1.009;1.082;1.073;1.137;0.832;1.574;1.043;0.943;0.940;1.070;0.876;1.099;0.937;1.051;1.544;1.506
